year,ndep,ndep_updated
1994,0.002231481,1.12E-03
1995,0.002201852,1.10E-03
1996,0.002172222,1.09E-03
1997,0.002142593,1.07E-03
1998,0.002112963,1.06E-03
1999,0.002083333,1.04E-03
2000,0.002053704,1.03E-03
2001,0.001994444,9.97E-04
2002,0.001935185,9.68E-04
2003,0.001875926,9.38E-04
2004,0.001816667,9.08E-04
2005,0.001757407,8.79E-04
2006,0.001698148,8.49E-04
2007,0.001638889,8.19E-04
2008,0.00157963,7.90E-04
2009,0.00152037,7.60E-04
2010,0.001461111,7.31E-04
2011,0.001446296,7.23E-04
2012,0.001431481,7.16E-04
2013,0.001416667,7.08E-04
2014,0.001401852,7.01E-04
2015,0.001387037,6.94E-04
2016,0.001372222,6.86E-04
2017,0.001357407,6.79E-04
2018,0.001342593,6.71E-04
2019,0.001327778,6.64E-04
2020,0.001312963,6.56E-04
2021,0.00130796,6.54E-04
2022,0.00130296,6.51E-04
2023,0.00129796,6.49E-04
2024,0.00129296,6.46E-04
2025,0.00128796,6.44E-04
2026,0.00128296,6.41E-04
2027,0.00127796,6.39E-04
2028,0.00127296,6.36E-04
2029,0.00126796,6.34E-04
2030,0.00126296,6.31E-04
2031,0.00125796,6.29E-04
2032,0.00125296,6.26E-04
2033,0.00124796,6.24E-04
2034,0.00124296,6.21E-04
2035,0.00123796,6.19E-04
2036,0.00123296,6.16E-04
2037,0.00122796,6.14E-04
2038,0.00122296,6.11E-04
2039,0.00121796,6.09E-04
2040,0.00121296,6.06E-04
2041,0.00120796,6.04E-04
2042,0.00120296,6.01E-04
2043,0.00119796,5.99E-04
2044,0.00119296,5.96E-04
2045,0.00118796,5.94E-04
2046,0.00118296,5.91E-04
2047,0.00117796,5.89E-04
2048,0.00117296,5.86E-04
2049,0.00116796,5.84E-04
2050,0.00116296,5.81E-04
